src,dst,sport,dport,proto,duration,pkt_count,total_bytes,throughput_bps,avg_pkt,min_pkt,max_pkt,median_pkt,mean_iat,std_iat,up_down_ratio,app_proto
192.168.29.189,23.33.244.239,51472,443,IP,0.00814509391784668,8,6665,6546271.969089366,833.125,0,1292,0.0,0.0011635848454066686,0.0012119487257914205,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.008905172348022461,8,9111,8184906.159192525,1138.875,0,1292,0.0,0.001272167478288923,0.001591152972435144,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.011957883834838867,8,7886,5275849.880410727,985.75,0,1292,0.0,0.0017082691192626953,0.001444766493607322,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.009534120559692383,8,9110,7644124.022106079,1138.75,0,1292,0.0,0.0013620172228131975,0.0015131374379424801,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.005543947219848633,8,6652,9598936.982926935,831.5,0,1494,0.0,0.0007919924599783761,0.001107400836329926,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.008280038833618164,8,7885,7618321.757608915,985.625,0,1292,0.0,0.0011828626905168807,0.0013904066917774978,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.005198955535888672,8,7884,12131667.517563973,985.5,0,1292,0.0,0.0007427079336983817,0.0009289519926236349,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.008018016815185547,8,7885,7867282.079096045,985.625,0,1292,0.0,0.0011454309735979354,0.0013610324991870143,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.009284019470214844,8,7886,6795332.58222907,985.75,0,1292,0.0,0.0013262884957449777,0.0017338838044262672,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.007885932922363281,8,7249,7353854.080541783,906.125,0,1494,0.0,0.0011265618460518973,0.0016956323427791834,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.0,8,11952,0.0,1494.0,0,1494,0.0,0.0,0.0,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.004611968994140625,8,7348,12745966.00165426,918.5,0,1494,0.0,0.0006588527134486607,0.001212519662686586,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.00893092155456543,8,7886,7063996.656397661,985.75,0,1292,0.0,0.00127584593636649,0.0013972337224323135,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.010197877883911133,8,7886,6186385.12033292,985.75,0,1292,0.0,0.0014568396977015904,0.0012455045893620521,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.014877080917358398,8,7885,4240079.108960079,985.625,0,1292,0.0,0.0021252972739083426,0.0026034360399634967,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.0066449642181396484,8,7885,9492902.885436475,985.625,0,1292,0.0,0.0009492806025913783,0.0012401242008446942,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.02792191505432129,8,3189,913690.9108980215,398.625,0,1292,0.0,0.003988845007760184,0.003385635387348022,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.10378599166870117,8,886,68294.38044611886,110.75,0,404,0.0,0.014826570238385881,0.024762636058966288,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.19448614120483398,8,5484,225579.0552900823,685.5,0,1292,0.0,0.027783734457833425,0.06008840341053121,1.0,HTTPS
